Original Attribute Name,Original Attribute Type,Original Attribute Definition,Parent Elements,NIEM Equivalent/Refined Attribute Name,NIEM Equivalent/Refined Attribute Type,NIEM Equivalent/Refined Attribute Definition,Status,Comments
notRequired,array,"List of reports with a ""not required"" status",caseStatusSummary,OptionalReports,nc : TextType,"A list of report identifiers with a ""not required"" status.",Initial refinement completed. Pending Tiger Team review.,
reportStatusDetails,object,High-level information on a specific report within a case,"notRequired, pending, inProgress, pendingApproval, approvedReports, correctionsNeeded",ReportStatusDetails,ReportStatusDetailsType,Information about the status of a specific report within a case.,Initial refinement completed. Pending Tiger Team review.,
statusChangeTime,string,"A date a status was set, effected, or reported.","reportStatusDetails, currentStatus",nc:StatusDate,nc : DateType,"A date a status was set, effected, or reported.",Mapped to existing NIEMOpen attribute.,
discipline,string,"A single or delimited list of disciplines to restrict the
results. ",reportStatusDetails,ForensicDisciplineText,nc : TextType,A forensic discipline that a set of results or documents belong to. ,Initial refinement completed. Pending Tiger Team review.,
status,string,A single or delimited list of document approval statuses to restrict the search results. ,"reportStatusDetails, currentStatus",nc:Status,nc : StatusType,A state of something or someone.,Mapped to existing NIEMOpen attribute.,
pending,array,"List of reports with a ""pending"" status",caseStatusSummary,PendingReports,nc : TextType,"A list of reports with a ""pending"" status.",Initial refinement completed. Pending Tiger Team review.,
inProgress,array,"List of reports with an ""in progress"" status",caseStatusSummary,,,,Needs to be refined by Tiger Team.,
pendingApproval,array,"List of reports with a ""pending approval"" status",caseStatusSummary,PendingApprovalReports,nc : TextType,"A list of reports with a ""pending approval"" status.",Initial refinement completed. Pending Tiger Team review.,
approvedReports,array,"List of reports with an ""approved"" status",caseStatusSummary,ReportsApprovedStatusList,ReportsApprovedStatusListType,"A list of reports with an ""approved"" status.",Initial refinement completed. Pending Tiger Team review.,
correctionsNeeded,array,"List of reports with a ""corrections needed"" status",caseStatusSummary,CorrectionsNeededReportsList,xs:string,A list of reports that need corrections.,Initial refinement completed. Pending Tiger Team review.,
resultStatus,object,A completion status of the laboratory result at the level of a single observation.,caseApproval,em:TestLaboratoryObservationResultStatus,nc : StatusType,A completion status of the laboratory result at the level of a single observation.,Mapped to existing NIEMOpen attribute.,
initialEvidenceDisposition,string,A set of information about what happened to a property item after an incident.,resultStatus,J:IncidentItemDisposition,nc : ItemDispositionType,A set of information about what happened to a property item after an incident.,Mapped to existing NIEMOpen attribute.,
levelTwoDisposition,object,A result or outcome that happens to an item after it has been handled or processed.,resultStatus,nc:ItemDisposition,nc : ItemDispositionType,A result or outcome that happens to an item after it has been handled or processed.,Mapped to existing NIEMOpen attribute.,
approverPocInformation,object,Contact information for the approver,resultStatus,ContactInformationApproverPersonAssociation,ContactInformationApproverPersonAssociationType,Contact information for the approver.,Initial refinement completed. Pending Tiger Team review.,
email,string,An electronic mailing address by which a person or organization may be contacted.,"approverPocInformation, labPocInformation, approvalSignature",nc:ContactEmailID,niem-xs : string,An electronic mailing address by which a person or organization may be contacted.,Mapped to existing NIEMOpen attribute.,
approvalSignature,object,Signature of the approver,"resultStatus, reportApproval",j:DocumentSignature,j:SignatureType,A signature on a document.,Mapped to existing NIEMOpen attribute.,
rank,string,"A rank, status, or promotion level of a person within an employment organization.","approvalSignature, statusChangeBy, examinerSignature, techReviewerSignature",nc:EmployeeRankText,nc : TextType ,"A rank, status, or promotion level of a person within an employment organization.",Mapped to existing NIEMOpen attribute.,
signature,string,A signature on a document.,"approvalSignature, examinerSignature, techReviewerSignature",j:DocumentSignature,j: SignatureType,A signature on a document.,Mapped to existing NIEMOpen attribute.,
dateSigned,string,A date associated with a signature,"approvalSignature, examinerSignature, techReviewerSignature",j:SignatureDate,nc : DateType,A date associated with a signature,Mapped to existing NIEMOpen attribute.,
certificateSN,string,A unique identifier for each X.509 certificate issued by a specific Certificate Authority.,"approvalSignature, examinerSignature, techReviewerSignature",mo:CertificateContentSerialNumberText,nc : TextType,A unique identifier for each X.509 certificate issued by a specific Certificate Authority.,Mapped to existing NIEMOpen attribute.,
certificateIssuerSN,string,A Certificate Authority who issued the X.509 certificate.,"approvalSignature, examinerSignature, techReviewerSignature",mo:CertificateContentIssuerText,nc : TextType,A Certificate Authority who issued the X.509 certificate.,Mapped to existing NIEMOpen attribute.,
VOIP,string,Voice Over Internet Protocol; Technique for transmitting real-time voice communications over the internet or another transmission control protocol/internet protocol (TCP/IP) network,"approvalSignature, statusChangeBy, examinerSignature, techReviewerSignature",,,,Needs to be refined by Tiger Team.,
mobilePhone,string,A cell phone number by which a person may be contacted.,"approvalSignature, statusChangeBy, examinerSignature, techReviewerSignature",,,,Needs to be refined by Tiger Team.,
reportApproval,object,Information on the approval of a case or report,,,,,Needs to be refined by Tiger Team.,
currentStatus,object,A state of something or someone.,reportApproval,nc:Status,nc : StatusType,A state of something or someone.,Mapped to existing NIEMOpen attribute.,
statusChangeBy,object,Name and contact information of person who changed the status of a report,reportApproval,,,,Needs to be refined by Tiger Team.,
currentStatusComment,string,"A comment, note, or remark.",reportApproval,nc:comment,nc : CommentType,"A comment, note, or remark.",Mapped to existing NIEMOpen attribute.,
examinerSignature,object,Signature of the examiner,reportApproval,,,,Needs to be refined by Tiger Team.,
techReviewerSignature,object,Signature of the tech reviewer,reportApproval,,,,Needs to be refined by Tiger Team.,
href,string,"A URI, URL or other unique reference to a storage location for a source representation.","statusChangeBy, signature, media",biom:SourceExternalFileReferenceText,nc : TextType,"A URI, URL or other unique reference to a storage location for a source representation.",Mapped to existing NIEMOpen attribute.,
versionNumber,integer,A unique Identifier of a version.,approvals,cbrn:VersionID,niem-xs : string,A unique Identifier of a version.,Mapped to existing NIEMOpen attribute.,
tcn,string,transaction control number,,,,,Needs to be refined by Tiger Team.,
