Original Attribute Name,Original Attribute Type,Original Attribute Definition,Parent Elements,NIEM Equivalent/Refined Attribute Name,NIEM Equivalent/Refined Attribute Type,NIEM Equivalent/Refined Attribute Definition,Status,Comments
current,string,A bottom current measured in tenths of knots.,oceanographic,usmtf:BottomCurrentTenthKnotMeasure,usmtf : PointName20CharMaxType,A bottom current measured in tenths of knots.,Mapped to existing NIEMOpen attribute.,"Depending on type of current, another NIEM option is usmtf:LittoralCurrentKnotsMeasure"
tide,number,A volume height of significant water thrown onto a beach during a specified time measured in tenths of feet.,oceanographic,usmtf:TidalAmountFeetMeasure,usmtf : Decimal0.3To3199.7Type,A volume height of significant water thrown onto a beach during a specified time measured in tenths of feet.,Mapped to existing NIEMOpen attribute.,
salinity,number,A salinity of the water in parts per thousand.,oceanographic,usmtf:SalinityPartsPerThousandMeasure,usmtf : Decimal0.0To99.0Type,A salinity of the water in parts per thousand.,Mapped to existing NIEMOpen attribute.,
surf,,,oceanographic,,,,Needs to be refined by Tiger Team.,
seaBedCharacteristics,,,oceanographic,,,,Needs to be refined by Tiger Team.,
waterColumnProperties,,,oceanographic,,,,Needs to be refined by Tiger Team.,
acoustics,number,A signal consisting of sound which conveys data.,oceanographic,usmtf:AcousticFrequencyValue, usmtf : Decimal0To99999999Type,"A frequency in the range 0 through 99999999, or any combination of seven or fewer digits and a significant decimal point (pt). There is an 8-character maximum (max).",Mapped to existing NIEMOpen attribute.,
magnetic,string,A magnetic substance,oceanographic,,,,Needs to be refined by Tiger Team.,
electromagnetic,string,"The impact of the electromagnetic environment upon the operational capability of forces, equipment, systems, and platforms.",environmentalConditions,usmtf:MagneticEnvironmentCharacterizationCode,usmtf : MagneticEnvironmentCharacterizationCodeType,An overall evaluation of magnetic conditions.,Mapped to existing NIEMOpen attribute.,
terrestrial,string,"The Earth’s land area, including its man-made and natural surface and sub-surface features, and its interfaces and interactions with the atmosphere and the oceans.",environmentalConditions,,,,Needs to be refined by Tiger Team.,
