Original Attribute Name,Original Attribute Type,Original Attribute Definition,Parent Elements,NIEM Equivalent/Refined Attribute Name,NIEM Equivalent/Refined Attribute Type,NIEM Equivalent/Refined Attribute Definition,Status,Comments
demolitionMaterials,object,An element for the construction and demolition materials. Debris resulting from destruction of buildings or homes. (cubic yards),militaryExplosives,em:CDDebrisValue,niem-xs : integer,An element for the construction and demolition materials. Debris resulting from destruction of buildings or homes. (cubic yards),Mapped to existing NIEMOpen attribute.,
platterCharge,string,The use of an explosive to propel a metal plate toward a target in a manner where the plate remains intact (Misznay-Schardin Effect),militaryExplosives,,,,Needs to be refined by Tiger Team.,
booster,string,A high explosive element sufficiently sensitive so as to be actuated by small explosive elements and powerful enough to cause detonation of the main charge filling (initiator » booster » main charge).,militaryExplosives,ExplosiveBooster,nc:TextType,A high explosive element sufficiently sensitive so as to be actuated by small explosive elements and powerful enough to cause detonation of the main charge filling.,Initial refinement completed. Pending Tiger Team review.,
bulkExplosives,string,"Large quantities of manufactured explosives, or explosives which have been removed from weapons or munitions, without a fusing/firing system attached",militaryExplosives,BulkExplosivesQuantity,nc:QuantityType,"Amount of bulk manufactured explosives, or explosives which have been removed from weapons or munitions, without a fusing/firing system attached.",Initial refinement completed. Pending Tiger Team review.,
efp,string,Explosively-formed Projectile; Specially designed main charge con-figuration incorporating an explosive charge with a concave metal liner which by the force of the charge reshapes the plate into a high velocity metal slug capable of penetrating armor (Misznay-Schardin Effect).,"militaryExplosives, directionalEffect",ExplosivelyFormedProjectileText,nc : TextType,A description of a specially designed main charge configuration incorporating an explosive charge with a concave metal liner which by the force of the charge reshapes the plate into a high velocity metal slug capable of penetrating armor (Misznay-Schardin Effect).,Initial refinement completed. Pending Tiger Team review.,
incendiary,string,Chemical mixtures and flammable liquids that cause fire,militaryExplosives,IncendiarySubstanceText,nc : TextType,A chemical mixture or flammable liquid that causes fire.,Initial refinement completed. Pending Tiger Team review.,
improvisedExplosives,object,Non-standard explosive mixtures/compounds which have been formulated/synthesized from available ingredients. Most often utilized in the absence of commercial/military explosives.,"highExplosives, lowExplosives",ImprovisedExplosive,ImprovisedExplosiveType,Non-standard explosive mixtures/compounds which have been formulated/synthesized from available ingredients. Most often utilized in the absence of commercial/military explosives.,Initial refinement completed. Pending Tiger Team review.,
explosiveCompounds,string,"Explosive compounds are homogeneous substances whose molecules contain within themselves the oxygen, carbon, and hydrogen necessary for combustion",improvisedExplosives,ExplosiveCompoundsText,nc : TextType,"A name or description of a homogeneous substance whose molecules contain within themselves the oxygen, carbon, and hydrogen necessary for combustion.",Initial refinement completed. Pending Tiger Team review.,
explosiveMixtures,string,a mixture of separate fuel and oxidizer components that together can produce an explosion.,improvisedExplosives,ExplosiveMixtureText,nc : TextType,A name or description of a mixture of separate fuel and oxidizer components that together can produce an explosion.,Initial refinement completed. Pending Tiger Team review.,
mainChargeConfiguration,object,"The arrangement or design of the main charge and other materials (usually metal) to create an effective weapon to attack personnel, vehicles, or structures",mainCharge,,,,Needs to be refined by Tiger Team.,
directionalEffect,object,Type of main charge configuration where the explosive effect is channeled to an intended area,mainChargeConfiguration,DirectionalEffect,DirectionalEffectType,A kind of main charge configuration where the explosive effect is channeled to an intended area.,Initial refinement completed. Pending Tiger Team review.,
directionalFragmentation,string,Any device designed to explosively propel ball bearings or other fragmentation in a cone shaped (“shotgun type”) pattern,directionalEffect,DirectionalFragmentationDeviceText,nc : TextType,A device designed to explosively propel ball bearings or other fragmentation in a paricular pattern.,Initial refinement completed. Pending Tiger Team review.,
platter,string,Type of platter used in directional effect configuration,directionalEffect,,,,Needs to be refined by Tiger Team.,
shape,string,Shape used in directional effect configuration,directionalEffect,,,,Needs to be refined by Tiger Team.,
omniDirectionalEffect,object,An aspect of main charge configuration where the explosion expands in all directions,mainChargeConfiguration,,,,Needs to be refined by Tiger Team.,
improvisedGrenade,string,"An improvised weapon, using military, commercially sourced, or homemade components, designed to explode when a restraint is removed (usually thrown, but can be projected)",omniDirectionalEffect,,,,Needs to be refined by Tiger Team.,
improvisedMine,string,,omniDirectionalEffect,,,,Needs to be refined by Tiger Team.,
improvisedMortar,string,"An improvised weapon, using military, commercially sourced, or homemade components, designed to launch an explosive charge to the target",omniDirectionalEffect,,,,Needs to be refined by Tiger Team.,
improvisedRocket,string,"An improvised delivery system, using military, commercially sourced, or homemade components, designed to propel itself to the target",omniDirectionalEffect,,,,Needs to be refined by Tiger Team.,
powerSource,object,A device that stores or releases electrical or mechanical energy.,technicalCategorization,PowerSourceType,,A data type for a device that stores or releases energy.,Initial refinement completed. Pending Tiger Team review.,
electricalEnergy,object,A power source that stores or releases electrical energy,powerSource,ElectricalPowerSource,PowerSourceType,A power source that stores or releases electrical energy.,Initial refinement completed. Pending Tiger Team review.,
directCurrent,object,Electric current that flows through a circuit in just one direction.,electricalEnergy,DirectCurrentDescriptionText,nc : TextType,A description of the direct curent used.,Initial refinement completed. Pending Tiger Team review.,
inParallel,string,Multiple batteries or other power sources which have their positive terminals connected to one another and their negative terminals connected to one another which results in an increase in the available current,directCurrent,,,,Needs to be refined by Tiger Team.,
inSeries,string,Multiple batteries or other power sources which have one positive terminal connected to the negative terminal of the next power source which results in an increase in the available voltage.,directCurrent,,,,Needs to be refined by Tiger Team.,
alternatingCurrentPowerConverter,string,Electric current that flows through a circuit in both directions with the change in direction occurring with a well-defined and specified frequency,electricalEnergy,AlternatingCurrentPowerConverter,nc:TextType,"A description of a power converter using electric current that flows through a circuit in both directions, with the change in direction occurring with a well-defined and specified frequency.",Initial refinement completed. Pending Tiger Team review.,
mechanicalEnergy,string,Stored or applied energy that results in physical movement of an IED component,powerSource,,,,Needs to be refined by Tiger Team.,
container,object,An item that holds something.,technicalCategorization,nc:Container,nc : itemType,An item that holds something.,Mapped to existing NIEMOpen attribute.,
concealment,object,Materials used to prevent the discovery of an IED or UAS by visual inspection. May also be used to add fragmentation.,container,ConcealmentMaterialDetails,ConcealmentMaterialDetailsType,Any materials used to prevent the discovery of an IED or UAS by visual inspection or add fragmentation.,Initial refinement completed. Pending Tiger Team review.,
confinement,object,A vessel used to hold the main charge together. May also be used to add fragmentation,container,ChargeConfinementVesselDetails,ChargeConfinementVesselDetailsType,A vessel used to hold a main charge together or add fragmentation.,Initial refinement completed. Pending Tiger Team review.,
material,string,"The elements, constituents, or substances of which something is composed or can be made","concealment, confinement",MaterialText,nc : TextType,"The elements, constituents, or substances of which something is composed or can be made.",Initial refinement completed. Pending Tiger Team review.,
containerType,string,An object that contains an explosive substance or agent.,"concealment, confinement",j:ExplosiveContainerText,nc : TextType,An object that contains an explosive substance or agent.,Mapped to existing NIEMOpen attribute.,
color,string,A description of the overall color of an item.,"concealment, confinement",nc:ItemColorDescriptionText,nc : TextType,A description of the overall color of an item.,Mapped to existing NIEMOpen attribute.,
dimensions,string,A description of the size or physical dimensions of an item.,"concealment, confinement",nc:ItemSizeDescriptionText,nc : TextType,A description of the size or physical dimensions of an item.,Mapped to existing NIEMOpen attribute.,
enhancements,object,"An optional, deliberately added component, as opposed to a secondary hazard, which modifies the effects of the IED. The IED would be effective, yet produce a different measurable result if this material were not added. The effect can be additional physical destruction, proliferation of dangerous substances (radiation, chemicals, etc.), or other results to enhance the effect of the IED",technicalCategorization,EnhancementType,,"A data type for an optional, deliberately added component, as opposed to a secondary hazard, which modifies the effects of an IED.",Initial refinement completed. Pending Tiger Team review.,
improvisedEnhancements,object,An improvised enhancement added to an IED,enhancements,IEDImprovisedEnhancement,EnhancementType,An improvised enhancement added to an IED.,Initial refinement completed. Pending Tiger Team review.,
fuel,string,An incendiary material designed to enhance the burning and visual effect of the device.,improvisedEnhancements,usmtf:FuelCode,usmtf : FuelCodeType,"A code for the type of fuel used by vehicle, vessel, or aircraft.",Mapped to existing NIEMOpen attribute.,
fragmentation,string,Small objects designed to be accelerated by explosive forces,improvisedEnhancements,FragmentationDescriptionText,nc : TextType,A description of small objects designed to be accelerated by explosive forces.,Initial refinement completed. Pending Tiger Team review.,
toxin,string,A toxic substance produced by and derived from plants and animals or created synthetically,improvisedEnhancements,,,,Needs to be refined by Tiger Team.,
chemicalName,string,A kind of substance.,improvisedEnhancements,nc:SubstanceCategoryText,nc : TextType,A kind of substance.,Mapped to existing NIEMOpen attribute.,
ToxicIndustrialMaterials,object,"A generic term for toxic or radioactive substances in solid, liquid, aerosolized, or gaseous form that may be used, or stored for use, for industrial, commercial, medical, military, or domestic purposes. Toxic industrial material may be chemical, biological, or radioactive and described as toxic industrial chemical, toxic industrial biological, or toxic industrial radiological",enhancements,,,,Needs to be refined by Tiger Team.,
toxicIndustrialChemical,string,"A chemical developed or manufactured for use in industrial operations or research by industry, government, or academia. For example: pesticides, petrochemicals, fertilizers, corrosives, poisons, etc. These chemicals are not primarily manufactured for the specific purpose of producing human casualties or rendering equipment, facilities, or areas dangerous for human use. Hydrogen cyanide, cyanogen chloride, phosgene, and chloropicrin are industrial chemicals that can also be military chemical agents",toxicIndustrialMaterials,,,,Needs to be refined by Tiger Team.,
toxicIndustrialBiological,string,"Any biological material manufactured, used, transported, or stored by industrial, medical, or commercial processes which could pose an infectious or toxic threat.",toxicIndustrialMaterials,,,,Needs to be refined by Tiger Team.,
toxicIndustrialRadiological,string,"Any radiological material manufactured, used, transported, or stored by industrial, medical, or commercial processes. For example: spent fuel rods, medical sources, etc",toxicIndustrialMaterials,,,,Needs to be refined by Tiger Team.,
militaryEnhancements,object,A military/weaponized enhancement added to an IED,enhancements,,,,Needs to be refined by Tiger Team.,
chemicalAgent,string,"A chemical substance which is intended to kill, seriously injure, or incapacitate mainly through its physiological effects. The term excludes riot control agents when used for law enforcement purposes, herbicides, smoke, and flames.",militaryEnhancements,usmtf:BiologicalChemicalAgentCode,usmtf : BiologicalChemicalAgentCodeType,"A code for the biological/chemical agent/effect (or contaminant) which destroys, incapacitates, or kills.",Mapped to existing NIEMOpen attribute.,
biologicalAgent,string,"A microorganism or a toxin derived from it that causes disease in personnel, plants, or animals or causes the deterioration of materiel",militaryEnhancements,usmtf:BiologicalChemicalAgentCode,usmtf : BiologicalChemicalAgentCodeType,"A code for the biological/chemical agent/effect (or contaminant) which destroys, incapacitates, or kills.",Mapped to existing NIEMOpen attribute.,
CemUID,string,Collected Exploitable Material Unique Identifier,"exhibits, devices, components",CemUID,niem-xs: string,A unique identifier for a piece of collected exploitable material (CEM),Initial refinement completed. Pending Tiger Team review.,
LowExplosives,object,A chemical compound or mixture that is designed to deflagrate (rapid burn).,composition,LowExplosive,ExplosiveType,A chemical compound or mixture that is designed to deflagrate (rapid burn).,Initial refinement completed. Pending Tiger Team review.,
