Original Attribute Name,Original Attribute Type,Original Attribute Definition,Parent Elements,NIEM Equivalent/Refined Attribute Name,NIEM Equivalent/Refined Attribute Type,NIEM Equivalent/ Refined Attribute Definition,Status,Comments
individualCharacteristics,string,"Marks produced by the random imperfections or irregularities of tool surfaces. These random
imperfections or irregularities are produced incidental to manufacture and/or caused by use,
corrosion, or damage. They are unique to that tool to the practical exclusion of all other tools.","firearmsIdentification, toolmarks",,,,Needs to be refined by Tiger Team.,
knownNonMatchingToolmarks,string,"(1) Toolmarks known to have been made by different tools.
(2) Toolmarks produced by the same tool but deliberately placed in a non-matching position.",toolmarks,KnownNonMatchingToolmarksText,nc : TextType,"A description of any toolmarks known to have been made by different tools, or toolmarks produced by the same tool but deliberately placed in a non-matching position.",Initial refinement completed. Pending Tiger Team review.,
lockEnergy,string,The amount of energy delivered to the primer from the firing pin blow.,firearmsIdentification,FirearmLockEnergyValue,nc:ValueType,An amount of energy delivered to a primer from a firing pin blow.,Initial refinement completed. Pending Tiger Team review.,
lockTime,string,The time interval between sear release and the firing pin striking the primer.,firearmsIdentification,FirearmLockTime,niem-xs : time,A time interval between sear release and the firing pin striking the primer.,Initial refinement completed. Pending Tiger Team review.,
magazineCategory,string,"(1) A secure storage place for gunpowder, ammunition, or explosives.
(2) A container for cartridges which has a spring and follower to feed those cartridges into
the chamber of a firearm. The magazine may be detachable or an integral part of the
firearm.",firearmsIdentification,FirearmMagazineCategoryText,nc : TextType,A kind of magazine used in a firearm.,Initial refinement completed. Pending Tiger Team review.,
meanRadius,string,"A method used to measure ammunition and/or firearm accuracy capability. To determine the
mean radius, the center of the group is located and the distance to the center of each shot from the group center is measured and recorded. The sum of these measurements divided by the number of shots is the mean radius.",firearmsIdentification,,,,Needs to be refined by Tiger Team.,
minuteOfAngle,string,"An angular measurement method used to describe accuracy capability. A minute of angle is one sixtieth of a degree. It subtends 1.047 inches at 100 yards, which for practical shooting purposes
is considered to be one inch. A minute of angle group, therefore, equals one inch at 100 yards,
two inches at 200 yards, etc. At 8” for example, it is approximately .002”.","firearmsIdentification, sightAndScope",usmtf:CentiminuteAngularValue,usmtf : Integer00To99Type,A value for one of 100 equal parts of a minute of angle.,Mapped to existing NIEMOpen attribute.,
obliqueAngle,string,Any angle other than perpendicular or parallel.,firearmsIdentification,,,,Needs to be refined by Tiger Team.,
overallLength,string,"(1) For a firearm, it is the dimension measured parallel to the axis of the bore from the
muzzle to a line at a right angle to the axis and tangent to the rearmost point of the butt
plate or grip.
(2) For ammunition, it is the greatest dimension of a loaded cartridge. For centerfire and
rimfire cartridges, it is the measurement from the face of the head to the tip of the bullet.
For shotshells or blanks, it is the measurement from the face of the head to the crimp.
Overall length does not refer to the uncrimped length of a shotshell.","firearmsIdentification, ammunition",OverallLengthMeasure,nc:MeasureType,"For a firearm, the dimension measured parallel to the axis of the bore from the muzzle to a line at a right angle to the axis and tangent to the rearmost point of the butt plate or grip. For ammunition, the greatest dimension of a loaded cartridge. ",Initial refinement completed. Pending Tiger Team review.,
overtravel,string,"The distance a part travels after a particular event occurs in the normal operation of the firearm
(e.g., the rearward motion of the trigger after the sear or hammer release or the rearward motion of
a bolt beyond ejection, etc.).",firearmsIdentification,,,,Needs to be refined by Tiger Team.,
firearmPressure,object,The force developed in a firearm by the expanding gases generated by the combustion of the propellant.,firearmsIdentification,FirearmPressure,FirearmPressureType,A force developed in a firearm by the expanding gases generated by the combustion of a propellant.,Initial refinement completed. Pending Tiger Team review.,
averagePressure,string,The arithmetic mean of a number of cartridges tested for pressure.,firearmPressure,AverageCartridgePressureValue,nc:Quantity,The arithmetic mean of a number of cartridges tested for pressure.,Initial refinement completed. Pending Tiger Team review.,
chamberPressure,string,The pressure in a firearm generated by the expanding propellant gases after ignition. Normally measured by means of piezoelectric transducers or crusher gauges. Also known as breech pressure or barrel pressure.,firearmPressure,ChamberPressureValue,nc:ValueType,Amount of pressure in a firearm generated by the expanding propellant gases after ignition. ,Initial refinement completed. Pending Tiger Team review.,
peakPressure,string,The highest value that the chamber pressure reaches during the burning of propellant.,firearmPressure,,,,Needs to be refined by Tiger Team.,
residualPressure,string,The pressure level that remains in the cartridge case or shotshell within the firearm’s chamber and in the bore immediately after the projectile leaves the muzzle of the firearm.,firearmPressure,,,,Needs to be refined by Tiger Team.,
portPressure,string,"Applies only to gas operated firearms. The amount of pressure remaining in the bore as the bullet passes the gas port. If port pressures are too high, damage can result from the violent cycling of the action. It is important to understand that this can occur even when chamber pressures are within acceptable limits. Port pressure can be controlled by proper powder selection.",firearmPressure,,,,Needs to be refined by Tiger Team.,
copperUnitsOfPressure,string,"Relates to firearm discharge pressure measured by a copper crusher testing system. These values
provide a means of testing and evaluating peak pressure generated during the discharge of a
suitably modified firearm. Abbreviated: C.U.P.",firearmPressure,CopperUnitsOfPressureValue,nc:ValueType,"Amount of firearm discharge pressure measured by a copper crusher testing system, used to provide a means of testing and evaluating peak pressure generated during the discharge of a suitably modified firearm. ",Initial refinement completed. Pending Tiger Team review.,
proofMark,string,A stamp applied to a firearm after it has passed a proof test.,firearmsIdentification,,,,Needs to be refined by Tiger Team.,
consecutiveMatchingStriae,string,"A numerical tabulation of CMS runs. Typically, the number of CMS is designated by a number,
followed by the letter x (e.g., 2x, 3x, etc.).","firearmsIdentification, toolmarks",ConsecutiveMatchingStriaeRunValue,nc:ValueType,"A numerical tabulation of CMS runs, typically designated by a number, followed by the letter x (e.g., 2x, 3x, etc.).",Initial refinement completed. Pending Tiger Team review.,
conclusion,string,"Results of toolmark comparison, including objective observations that support the findings of toolmark examinations. Possible conclusions include: identification, inconclusive, elimination, and unsuitable","firearmsIdentification, toolmarks",ToolmarkComparisonConclusion,nc:TextType,"Results of toolmark comparison, including objective observations that support the findings of toolmark examinations. Possible conclusions include: identification, inconclusive, elimination, and unsuitable.",Initial refinement completed. Pending Tiger Team review.,JS: This concept is not specific to the cbrn domain. A NIEM core or Forensics element would be better. 
recoilEnergy,string,"The force of the firearm’s movement opposite to the direction of the bullet, usually expressed in
foot-pounds (ft-lbs) or joules (J).",firearmsIdentification,,,,Needs to be refined by Tiger Team.,
recoilOperation,string,"Category of mechanism in which the force of recoil is used to unlock the breech bolt and then to complete the cycle of extracting, ejecting, and reloading.",firearmsIdentification,,,,Needs to be refined by Tiger Team.,
rifling,object,"Helical grooves cut or impressed into the bore of a firearm barrel to impart rotary motion to a
projectile when fired.",firearmsIdentification,,,,Needs to be refined by Tiger Team.,
riflingPitch,string,"The angle at which the rifling is cut in relationship to the axis of the bore. It is usually stated as
the number of inches required for one revolution, for example one turn in 12 inches. Also known
as rate of twist.",rifling,,,,Needs to be refined by Tiger Team.,
riflingTwist,string,"The direction (right or left) and rate at which the rifling of the firearm turns within the bore. This
is normally expressed as the distance required for the rifling (and projectile) to make one complete
revolution. Depending on the origin of the firearm, this may be written in inches or in millimeters (e.g., 1 turn in 12 inches or 1 turn in 305 mm).",rifling,,,,Needs to be refined by Tiger Team.,
manuallyOperatedSafetyCategory,string,"Category of manual safety mechanism for a firearm (ex: cross bolt, grip, lever, etc.)",firearmsIdentification,,,,Needs to be refined by Tiger Team.,
weaponSerialNumber,integer,A number applied to a weapon for identification purposes.,"firearmsIdentification, serialNumberRestoration",usmtf:WeaponSerialNumberID,usmtf : WeaponSerialNumberType ,An identifier for an individual weapon.,Mapped to existing NIEMOpen attribute.,
projectile,object,"An object propelled by external force and continuing in motion by its own inertia (e.g., a bullet propelled from a firearm by the force of rapidly burning gases or other means).",firearmsIdentification,,ProjectileType,,Needs to be refined by Tiger Team.,
shockingPower,string,The ability of a projectile to dissipate its kinetic energy effectively into a target.,projectile,,,,Needs to be refined by Tiger Team.,
coefficientOfForm,integer,A numerical term indicating the general profile of a projectile.,projectile,CoefficientOfFormValue,nc:ValueType,A numerical term indicating the general profile of a projectile.,Initial refinement completed. Pending Tiger Team review.,
effectiveRange,number,The maximum distance at which a projectile can be expected to be useful in its intended purpose.,projectile,usmtf:EffectiveRangeValue,decimal,"A distance along a specific line from a known or observed point within which a system or platform can operate effectively, in the range 1 through 99999 or in the range 0.1 through 999.9.",Mapped to existing NIEMOpen attribute.,
bulletEnergy,string,"The capacity of a projectile to do work in flight. The units are typically expressed as foot-pounds,
joules, or kilogram-meters. Also known as projectile energy.",projectile,BulletEnergyValue,nc:ValueType,"The capacity of a projectile to do work in flight, expressed in  foot-pounds, joules, or kilogram-meters; also known as projectile energy.",Initial refinement completed. Pending Tiger Team review.,
muzzleEnergy,string,The energy of a fired projectile(s) measured at the muzzle of a firearm.,projectile,,,,Needs to be refined by Tiger Team.,
terminalEnergy,string,The energy of a projectile(s) measured at the point of impact.,projectile,,,,Needs to be refined by Tiger Team.,
airResistance,string,"The force placed on an object by the atmosphere in opposition to forward motion. Also known as
aerodynamic drag.",projectile,AirResistanceDragForceAmount,niem-xs:string,The amount of aerodynamic drag force placed on an object by the atmosphere in opposition to forward motion. ,Initial refinement completed. Pending Tiger Team review.,
altitudeEffect,string,"The effect on velocity, and therefore projectile trajectory and shot pattern, caused by changes in
atmospheric density due to altitude.",projectile,ProjectileTrajectoryAltitudeEffect,xs:string,A data object used to measure the effect of altitude on firing results.,Initial refinement completed. Pending Tiger Team review.,
maximumRange,string,"The greatest distance a projectile can travel when fired at the optimum angle of elevation of the
barrel. Also known as extreme range.",projectile,,,,Needs to be refined by Tiger Team.,
speedOfRotation,string,The rate of spin of a projectile fired from a rifled barrel. ,projectile,usmtf:RotationalSpeedValue, usmtf : Decimal0To99999ZeroToFourFractionDigitsType,"A rotational speed in seconds per revolution (SPR), in the range 0 through 99999 or any combination of four or fewer digits and a significant decimal point (pt). There is a 5-character maximum (max).",Mapped to existing NIEMOpen attribute.,
timeOfFlight,number,The total elapsed time that a projectile requires to travel a specific distance from the muzzle.,projectile,usmtf:TimeOfFlightDuration,decimal,"A time that a projectile takes to travel from the weapon to the target (time of flight), expressed to the nearest tenth of a second.",Mapped to existing NIEMOpen attribute.,
bullet,object,A non-spherical projectile for use in a rifled barrel,,FirearmBullet,ProjectileType,A non-spherical projectile for use in a rifled barrel.,Initial refinement completed. Pending Tiger Team review.,
bulletCategory,string,Category of bullet for a particular firearm,bullet,FirearmBulletCategoryText,nc:TextType,A kind of bullet for a particular firearm.,Initial refinement completed. Pending Tiger Team review.,
bulletDiameter,string,The maximum dimension across the largest cylindrical section of a bullet.,bullet,FirearmBulletDiameterMeasure,nc:MeasureType,A measure of the maximum dimension across the largest cylindrical section of a bullet.,Initial refinement completed. Pending Tiger Team review.,
bulletJump,string,"The distance that a bullet must travel from its position at rest in the cartridge case to its initial
engagement with the rifling of the barrel. Also known as free travel.",bullet,FirearmBulletJumpDistanceMeasure,nc:MeasureType,The distance that a bullet must travel from its position at rest in the cartridge case to its initial engagement with the rifling of the barrel; also known as free travel.,Initial refinement completed. Pending Tiger Team review.,
bulletPenetration,string,The distance which a projectile travels in a target material.,"bullet, pellet",FirearmBulletPenetrationMeasure,nc:MeasureType,The distance which a bullet travels in a target material.,Initial refinement completed. Pending Tiger Team review.,
bulletPull,string,The force required to pull a bullet from the case mouth. Also referred to as neck tension.,bullet,BulletPullValue,nc:ValueType,The force required to pull a bullet from the case mouth; also referred to as neck tension.,Initial refinement completed. Pending Tiger Team review.,
bulletPush,string,The force required to shorten a cartridge by pushing on the bullet.,bullet,BulletPushValue,nc:ValueType,The force required to shorten a cartridge by pushing on the bullet.,Initial refinement completed. Pending Tiger Team review.,
bulletRecoverySystem,string,"Any method that will allow the recovery of a fired, undamaged bullet. Different systems are needed for various cartridges depending on bullet composition, jacket thickness, and velocity. Water tanks and cotton boxes are most commonly used.",bullet,BulletRecoverySystem,nc:TextType,"Method used that will allow the recovery of a fired, undamaged bullet.",Initial refinement completed. Pending Tiger Team review.,
bulletShearing,string,The cutting of metal from a bullet due to a cylinder misalignment in a revolver. Also known as shaving.,bullet,BulletShearingDescriptionText,nc:TextType,A description of the cutting of metal from a bullet due to a cylinder misalignment in a revolver; also known as shaving.,Initial refinement completed. Pending Tiger Team review.,
bulletSpin,string,The rotational motion imparted to a bullet by the rifling in the barrel.,bullet,BulletSpinValue,nc:ValueType,Measurement of the rotational motion imparted to a bullet by the rifling in the barrel.,Initial refinement completed. Pending Tiger Team review.,
bulletSplash,string,"The spatter and fragmentation of a bullet upon impacting a hard surface. Also known as lead
splash.",bullet,BulletSplashArea,xs:string,Measurement of the area of spatter and fragmentation of a bullet upon impacting a hard surface; also known as lead splash.,Initial refinement completed. Pending Tiger Team review.,
bulletStretch,string,Elongation of the bullet during firing.,bullet,BulletStretchDescriptionText,nc: TextType,Description of any elongation of a bullet that occurred during firing.,Initial refinement completed. Pending Tiger Team review.,
bulletUpset,string,"(1) In interior ballistics, it is the change of a bullet’s form due to chamber pressure.
(2) In exterior ballistics, it is the expansion of a bullet upon impact with target.",bullet,BulletUpsetDescriptionText,nc: TextType,Description of a change in a bullet's form due to chamber pressure or upon impact with a target.,Initial refinement completed. Pending Tiger Team review.,
bulletYaw,string,"An instability caused by the eccentricity or imbalance of the bullet in flight. Yaw is usually the
greatest in the initial portion of its flight in the atmosphere after which the bullet “goes to sleep”
and becomes fully spin-stabilized. Yaw may also occur after an elongated bullet strikes an object
or when it enters media other than the atmosphere. Also known as bullet tipping or bullet wobble.",bullet,BulletYawResult,xs:string,A measure of the instability caused by the eccentricity or imbalance of a bullet in flight; also known as bullet tipping or bullet wobble.,Initial refinement completed. Pending Tiger Team review.,
drift,string,"The deviation in flight of a bullet from the center line of the bore due to the gyrational spin of the
bullet imparted by the rifling.",bullet,BulletDrift,nc : ValueType,The deviation in flight of a bullet from the center line of the bore due to the gyrational spin of the bullet imparted by the rifling.,Initial refinement completed. Pending Tiger Team review.,
sectionalDensity,integer,The ratio of the weight of a bullet in pounds to the square root of its diameter in inches.,bullet,BulletSectionalDensityMeasure,nc : MeasureType,The ratio of the weight of a bullet in pounds to the square root of its diameter in inches.,Initial refinement completed. Pending Tiger Team review.,
pellet,object,The common name for the spherical projectiles loaded into shotshells. Also known as shot.,,,ProjectileType,,Needs to be refined by Tiger Team.,
shotCategory,string,Category of shot for a particular shotshell,pellet,,,,Needs to be refined by Tiger Team.,
shotColumn,string,The length of the shot load in a shotshell.,pellet,,,,Needs to be refined by Tiger Team.,
