Original Attribute Name,Original Attribute Type,Original Attribute Definition,Parent Elements,NIEM Equivalent/Refined Attribute Name,NIEM Equivalent/Refined Attribute Type,NIEM Equivalent/ Refined Attribute Definition,Status,Comments
bulletWipe,string,"The discolored area on the immediate periphery of a bullet hole, caused by the transfer of residues
from the bearing surface of the bullet.",gunshotResidues,BulletWipeDescriptionText,nc: TextType,"Description of the discolored area on the immediate periphery of a bullet hole, caused by the transfer of residues from the bearing surface of the bullet.",Initial refinement completed. Pending Tiger Team review.,
testsPerformed,string,Information about tests performed related to firearms and toolmarks ,"gunshotResidues, firearmsIdentification, toolmarks",,,,Needs to be refined by Tiger Team.,
gunpowderCategory,string,Any of various powders used as the propellant in a cartridge or shotshell,gunshotResidues,GunpowderCategoryText,nc : TextType,A kind of gunpowder used as the propellant in a cartridge or shotshell.,Initial refinement completed. Pending Tiger Team review.,
gunpowderPattern,string,The spatial distribution of gunpowder residues deposited upon a surface.,gunshotResidues,GunpowderPatternDescriptionText,nc : TextType,A description of the spatial distribution of gunpowder residues deposited upon a surface.,Initial refinement completed. Pending Tiger Team review.,
inhibitor,string,"A chemical used to retard or stop an undesirable reaction. In the manufacture of powder
propellants it is used to retard the burning rate.",gunshotResidues,InhibitorText,nc : TextType,A chemical used to retard or stop an undesirable reaction.,Initial refinement completed. Pending Tiger Team review.,
powderFouling,string,Gunpowder residue left in firearms after firing.,gunshotResidues,,,,Needs to be refined by Tiger Team.,
primerResidues,string,"The components of gunshot residue which contain elements which were originally part of the
primer mixture of a cartridge. The scanning electron microscope (SEM) with energy dispersive
X-Ray are used to analyze for some of the elements in primer residue, such as antimony, barium, and lead. Other methods that have been used for analyzing the elements of primer residue are neutron activation analysis (NAA) and atomic absorption (AA).",gunshotResidues,,,,Needs to be refined by Tiger Team.,
reagent,string,"A chemical used to react with another chemical, often to confirm or deny the presence of the second chemical.",gunshotResidues,ReagentText,nc : TextType,"A chemical used to react with another chemical, often to confirm or deny the presence of the second chemical.",Initial refinement completed. Pending Tiger Team review.,
smokeResidue,string,"The portion of gunpowder residue which consists essentially of carbon and leaves a black deposit
on a target surface when the muzzle of the firearm is very close to the target. Also known as
sooting and smudging.",gunshotResidues,,,,Needs to be refined by Tiger Team.,
serialNumberRestoration,object,"The application of scientific techniques used for the retrieval, recovery, and/or revisualization of
the manufacturer’s identifier",firearmsIdentification,,,,Needs to be refined by Tiger Team.,
hiddenSerialNumber,string,An additional manufacturer’s applied serial number not in plain view.,serialNumberRestoration,HiddenSerialNumberText,nc : TextType,An additional manufacturer’s applied serial number not in plain view.,Initial refinement completed. Pending Tiger Team review.,
methodOfObliteration,string,Method used to obliterate the serial number,serialNumberRestoration,,,,Needs to be refined by Tiger Team.,
personalMarking,string,"Any unique designation placed on an object by an owner, purchaser, or user for identification or
proof of ownership.",serialNumberRestoration,,,,Needs to be refined by Tiger Team.,
plasticDeformation,string,"Permanent change in the shape or size of a solid body without fracture resulting from the
application of a sustained stress beyond the elastic limit. May also be referred to as permanent
deformation.",serialNumberRestoration,,,,Needs to be refined by Tiger Team.,
serialNumberApplications,string,method used by the manufacturer to apply the serial number,serialNumberRestoration,,,,Needs to be refined by Tiger Team.,
serialNumberRestorationMethod,string,Method used to restore the serial number,serialNumberRestoration,,,,Needs to be refined by Tiger Team.,
serialNumberRestorationConclusion,string,"Result of serial number restoration; possible values are ""full restoration"", ""partial restoration"", and ""no restoration""",serialNumberRestoration,,,,Needs to be refined by Tiger Team.,
sightAndScope,object,Information related to a sight or scope associated with a firearm,firearmsIdentification,,,,Needs to be refined by Tiger Team.,
sightCategory,string,"Category of structures or devices, mechanical or optical, designed to assist in aiming a firearm at a target.",sightAndScope,,,,Needs to be refined by Tiger Team.,
scopeCategory,string,Category of an optical sight consisting of a series of lenses and a reticle which magnify a target and increase a shooter's accuracy in aiming; a terrestrial telescope equipped with a reticle that is superimposed on the field of view and automatically focuses on the image.,sightAndScope,,,,Needs to be refined by Tiger Team.,
bulletDrop,string,"The vertical distance a bullet has fallen, under the influence of gravity, at any point in its flight
path. The distance is measured from a point on its path to the straight line from the axis of the
bore to target.",sightAndScope,FirearmBulletDropDistanceMeasure,nc:MeasureType,"The vertical distance a bullet has fallen, under the influence of gravity, at any point in its flight path; Measured from a point on its path to the straight line from the axis of the bore to target.",Initial refinement completed. Pending Tiger Team review.,
eyeRelief,string,"The distance between a shooter’s eye and the ocular lens of a telescopic sight required for an
optimum field of view (FOV). Distance usually exceeds three inches. Also known as eye distance",sightAndScope,EyeReliefMeasure,nc : MeasureType,A measurement of the distance between a shooter’s eye and the ocular lens of a telescopic sight required for an optimum field of view (FOV). ,Initial refinement completed. Pending Tiger Team review.,
fieldOfView,string,"The widest dimension visible through a telescopic sight, measured in feet seen at a range of 100
yards. Field of View (FOV) decreases as the magnification power of a scope increases.",sightAndScope,usmtf:NarrowFieldOfViewKilometersMeasure,usmtf : Integer01To9999Type ,A narrow field of view reported in kilometers.,Mapped to existing NIEMOpen attribute.,
optimumMagnification,string,"The best possible enlargement of an image seen through a scope, obtained when the exit pupil is
equal in diameter to the pupil of a shooter’s eye.",sightAndScope,,,,Needs to be refined by Tiger Team.,
resolution,string,The clarity or freedom from distortion of an image transmitted through a scope.,sightAndScope,ScopeImageResolution,niem-xs : nonNegativeInteger,The clarity or freedom from distortion of an image transmitted through a scope.,Initial refinement completed. Pending Tiger Team review.,JS: This concept is not specific to the cbrn domain. A NIEM core or Forensics element would be better. 
sightRadius,string,The distance between the rear sight and the front sight on a firearm.,sightAndScope,,,,Needs to be refined by Tiger Team.,
suppressor,object,A device which reduces muzzle blast by decreasing the velocity of escaping gases but maintains a bullet’s high velocity.,firearmsIdentification,,,,Needs to be refined by Tiger Team.,
baffleStack,object,The complete collection of baffles that make up the interior of a suppressor.,suppressor,SuppressorInteriorBaffleStackDescription,nc:TextType,A description of the system of baffles that make up the interior of a suppressor.,Initial refinement completed. Pending Tiger Team review.,
bafflingSystem,object,"A series of baffles designed to restrict the passage of gas generated during the discharge of a
firearm.",baffleStack,FirearmBaffleSystemDescription,nc:TextType,A description of the system of multiple baffles designed to restrict the passage of gas generated during the discharge of a firearm.,Initial refinement completed. Pending Tiger Team review.,
baffleCategory,string,"Components of a suppressor - usually discs, washers, wafers, or some other material. These
components can be made of metal, rubber, cork, leather, or plastic and can be conical, flat, or
spiral in shape.","baffleStack, bafflingSystem",SuppressorBaffleComponentText,nc : TextType,Component(s) of a suppressor designed to restrict the passage of gas generated during the discharge of a firearm.,Initial refinement completed. Pending Tiger Team review.,
suppressorChamber,string,"Information about the entrance, middle, and/or exit chamber of a suppressor",suppressor,,,,Needs to be refined by Tiger Team.,
leq,string,"Equivalent continuous sound pressure level, or Leq, is the constant noise level that would result in the same total sound energy being produced over a given period.",suppressor,,,,Needs to be refined by Tiger Team.,
soundExposureLevel,string,"A sound level that is maintained for a one second interval and is equivalent to the total acoustic
energy generated by the measured noise.",suppressor,,,,Needs to be refined by Tiger Team.,
soundPressureLevel,integer,"The measure of variation in atmospheric pressure resulting in a sound level to which the ear
responds. Measured by a sound level meter in decibels.",suppressor,usmtf:MaximumSoundPressureDecibelsMeasure,usmtf : Integer3To4Digit-999To999Type,A maximum difference between the actual pressure at any point in the field of a sound wave at any instant and the average pressure at that point detected by remote ground sensor strings measured in decibels.,Mapped to existing NIEMOpen attribute.,
suppressorCategory,string,Category of a device which reduces muzzle blast by decreasing the velocity of escaping gases but maintains a bullet’s high velocity.,suppressor,,,,Needs to be refined by Tiger Team.,
firearmIgnitionSystem,string,Category of ignition system for a firearm,firearmsIdentification,FirearmIgnitionSystemText,nc : TextType,A name or description of a of firearm ignition system.,Initial refinement completed. Pending Tiger Team review.,
CemUID,string,Collected Exploitable Material Unique Identifier,exhibits,CemUID,niem-xs: string,A unique identifier for a piece of collected exploitable material (CEM).,Initial refinement completed. Pending Tiger Team review.,
